Date,High,Helper Column
"Jul 30, 2015",290.13,937
"Jul 31, 2015",288.96,936
"Aug 01, 2015",284.93,935
"Aug 02, 2015",283.03,934
"Aug 03, 2015",285.47,933
"Aug 04, 2015",285.71,932
"Aug 05, 2015",285.5,931
"Aug 06, 2015",281.91,930
"Aug 07, 2015",280.39,929
"Aug 08, 2015",279.93,928
"Aug 09, 2015",267,927
"Aug 10, 2015",267.03,926
"Aug 11, 2015",270.39,925
"Aug 12, 2015",270.67,924
"Aug 13, 2015",266.23,923
"Aug 14, 2015",267.47,922
"Aug 15, 2015",266.67,921
"Aug 16, 2015",262.44,920
"Aug 17, 2015",260.5,919
"Aug 18, 2015",257.99,918
"Aug 19, 2015",237.41,917
"Aug 20, 2015",237.37,916
"Aug 21, 2015",236.43,915
"Aug 22, 2015",234.96,914
"Aug 23, 2015",232.71,913
"Aug 24, 2015",228.14,912
"Aug 25, 2015",226.32,911
"Aug 26, 2015",231.18,910
"Aug 27, 2015",228.64,909
"Aug 28, 2015",235.22,908
"Aug 29, 2015",233.22,907
"Aug 30, 2015",232.07,906
"Aug 31, 2015",231.96,905
"Sep 01, 2015",231.22,904
"Sep 02, 2015",230.58,903
"Sep 03, 2015",229.6,902
"Sep 04, 2015",230.9,901
"Sep 05, 2015",236.14,900
"Sep 06, 2015",242.91,899
"Sep 07, 2015",242.11,898
"Sep 08, 2015",245.78,897
"Sep 09, 2015",244.42,896
"Sep 10, 2015",241.29,895
"Sep 11, 2015",241.17,894
"Sep 12, 2015",240.12,893
"Sep 13, 2015",235.94,892
"Sep 14, 2015",232.44,891
"Sep 15, 2015",259.18,890
"Sep 16, 2015",231.22,889
"Sep 17, 2015",230.28,888
"Sep 18, 2015",234.35,887
"Sep 19, 2015",233.21,886
"Sep 20, 2015",232.37,885
"Sep 21, 2015",231.22,884
"Sep 22, 2015",232.39,883
"Sep 23, 2015",231.84,882
"Sep 24, 2015",235.65,881
"Sep 25, 2015",237.43,880
"Sep 26, 2015",235.4,879
"Sep 27, 2015",234.53,878
"Sep 28, 2015",239.34,877
"Sep 29, 2015",239.8,876
"Sep 30, 2015",237.73,875
"Oct 01, 2015",238.44,874
"Oct 02, 2015",238.54,873
"Oct 03, 2015",239.31,872
"Oct 04, 2015",238.97,871
"Oct 05, 2015",240.38,870
"Oct 06, 2015",246.94,869
"Oct 07, 2015",246.68,868
"Oct 08, 2015",244.25,867
"Oct 09, 2015",244.23,866
"Oct 10, 2015",245.32,865
"Oct 11, 2015",247.24,864
"Oct 12, 2015",247.45,863
"Oct 13, 2015",250.24,862
"Oct 14, 2015",254.28,861
"Oct 15, 2015",255.96,860
"Oct 16, 2015",266.13,859
"Oct 17, 2015",273.58,858
"Oct 18, 2015",271.67,857
"Oct 19, 2015",264.82,856
"Oct 20, 2015",270.83,855
"Oct 21, 2015",270.77,854
"Oct 22, 2015",276.51,853
"Oct 23, 2015",278.68,852
"Oct 24, 2015",281.71,851
"Oct 25, 2015",294.06,850
"Oct 26, 2015",285.3,849
"Oct 27, 2015",296.21,848
"Oct 28, 2015",306.33,847
"Oct 29, 2015",318.17,846
"Oct 30, 2015",334.17,845
"Oct 31, 2015",332.78,844
"Nov 01, 2015",327.47,843
"Nov 02, 2015",365.36,842
"Nov 03, 2015",417.9,841
"Nov 04, 2015",495.56,840
"Nov 05, 2015",447.56,839
"Nov 06, 2015",395.84,838
"Nov 07, 2015",390.59,837
"Nov 08, 2015",389.89,836
"Nov 09, 2015",385.28,835
"Nov 10, 2015",381.39,834
"Nov 11, 2015",340.58,833
"Nov 12, 2015",345.08,832
"Nov 13, 2015",340.91,831
"Nov 14, 2015",338.18,830
"Nov 15, 2015",334.66,829
"Nov 16, 2015",331.63,828
"Nov 17, 2015",338.35,827
"Nov 18, 2015",336.53,826
"Nov 19, 2015",335.33,825
"Nov 20, 2015",326.47,824
"Nov 21, 2015",328.16,823
"Nov 22, 2015",327.01,822
"Nov 23, 2015",325.12,821
"Nov 24, 2015",323.06,820
"Nov 25, 2015",329.13,819
"Nov 26, 2015",366.76,818
"Nov 27, 2015",363.59,817
"Nov 28, 2015",359.54,816
"Nov 29, 2015",371.94,815
"Nov 30, 2015",382.36,814
"Dec 01, 2015",378.93,813
"Dec 02, 2015",362.23,812
"Dec 03, 2015",370.27,811
"Dec 04, 2015",363.52,810
"Dec 05, 2015",389.79,809
"Dec 06, 2015",402.81,808
"Dec 07, 2015",399.97,807
"Dec 08, 2015",415.56,806
"Dec 09, 2015",423.12,805
"Dec 10, 2015",419.51,804
"Dec 11, 2015",451.94,803
"Dec 12, 2015",469.1,802
"Dec 13, 2015",441.68,801
"Dec 14, 2015",447.14,800
"Dec 15, 2015",465.32,799
"Dec 16, 2015",465.21,798
"Dec 17, 2015",457.86,797
"Dec 18, 2015",465.18,796
"Dec 19, 2015",465.58,795
"Dec 20, 2015",462.64,794
"Dec 21, 2015",444.73,793
"Dec 22, 2015",443.69,792
"Dec 23, 2015",444.53,791
"Dec 24, 2015",458.46,790
"Dec 25, 2015",458.31,789
"Dec 26, 2015",457.49,788
"Dec 27, 2015",424.01,787
"Dec 28, 2015",429.77,786
"Dec 29, 2015",432.98,785
"Dec 30, 2015",434.39,784
"Dec 31, 2015",432.92,783
"Jan 01, 2016",436.25,782
"Jan 02, 2016",436.06,781
"Jan 03, 2016",433.74,780
"Jan 04, 2016",434.52,779
"Jan 05, 2016",434.18,778
"Jan 06, 2016",431.86,777
"Jan 07, 2016",458.77,776
"Jan 08, 2016",462.93,775
"Jan 09, 2016",454.64,774
"Jan 10, 2016",448.31,773
"Jan 11, 2016",450.66,772
"Jan 12, 2016",448.18,771
"Jan 13, 2016",435.19,770
"Jan 14, 2016",433.32,769
"Jan 15, 2016",430.25,768
"Jan 16, 2016",390.56,767
"Jan 17, 2016",390.96,766
"Jan 18, 2016",388.1,765
"Jan 19, 2016",387.73,764
"Jan 20, 2016",425.27,763
"Jan 21, 2016",422.88,762
"Jan 22, 2016",410.41,761
"Jan 23, 2016",394.54,760
"Jan 24, 2016",405.49,759
"Jan 25, 2016",402.32,758
"Jan 26, 2016",397.77,757
"Jan 27, 2016",396.84,756
"Jan 28, 2016",395.5,755
"Jan 29, 2016",384.38,754
"Jan 30, 2016",380.92,753
"Jan 31, 2016",380.35,752
"Feb 01, 2016",378.07,751
"Feb 02, 2016",375.88,750
"Feb 03, 2016",374.95,749
"Feb 04, 2016",391.61,748
"Feb 05, 2016",391.09,747
"Feb 06, 2016",386.63,746
"Feb 07, 2016",380.87,745
"Feb 08, 2016",379.88,744
"Feb 09, 2016",377.25,743
"Feb 10, 2016",385.48,742
"Feb 11, 2016",383.13,741
"Feb 12, 2016",384.95,740
"Feb 13, 2016",391.86,739
"Feb 14, 2016",407.23,738
"Feb 15, 2016",410.38,737
"Feb 16, 2016",408.94,736
"Feb 17, 2016",421.17,735
"Feb 18, 2016",426,734
"Feb 19, 2016",423.1,733
"Feb 20, 2016",441.98,732
"Feb 21, 2016",448.05,731
"Feb 22, 2016",439.05,730
"Feb 23, 2016",439.86,729
"Feb 24, 2016",425.55,728
"Feb 25, 2016",427.72,727
"Feb 26, 2016",432.15,726
"Feb 27, 2016",434.23,725
"Feb 28, 2016",435.68,724
"Feb 29, 2016",441.51,723
"Mar 01, 2016",439.65,722
"Mar 02, 2016",435.92,721
"Mar 03, 2016",425.37,720
"Mar 04, 2016",425.18,719
"Mar 05, 2016",411.26,718
"Mar 06, 2016",411.91,717
"Mar 07, 2016",415.92,716
"Mar 08, 2016",416.24,715
"Mar 09, 2016",416.03,714
"Mar 10, 2016",417.51,713
"Mar 11, 2016",423.93,712
"Mar 12, 2016",421.8,711
"Mar 13, 2016",416.6,710
"Mar 14, 2016",416.68,709
"Mar 15, 2016",418.13,708
"Mar 16, 2016",417.69,707
"Mar 17, 2016",421,706
"Mar 18, 2016",420.55,705
"Mar 19, 2016",410.98,704
"Mar 20, 2016",414.63,703
"Mar 21, 2016",413.42,702
"Mar 22, 2016",418.38,701
"Mar 23, 2016",419.27,700
"Mar 24, 2016",418.68,699
"Mar 25, 2016",418.08,698
"Mar 26, 2016",418.99,697
"Mar 27, 2016",428.8,696
"Mar 28, 2016",426.86,695
"Mar 29, 2016",426.2,694
"Mar 30, 2016",416.83,693
"Mar 31, 2016",418.37,692
"Apr 01, 2016",418.17,691
"Apr 02, 2016",422.08,690
"Apr 03, 2016",421.58,689
"Apr 04, 2016",422.34,688
"Apr 05, 2016",424.26,687
"Apr 06, 2016",424.53,686
"Apr 07, 2016",423.66,685
"Apr 08, 2016",425.36,684
"Apr 09, 2016",420.89,683
"Apr 10, 2016",422.44,682
"Apr 11, 2016",422.74,681
"Apr 12, 2016",427.28,680
"Apr 13, 2016",426.66,679
"Apr 14, 2016",425.37,678
"Apr 15, 2016",429.93,677
"Apr 16, 2016",432.63,676
"Apr 17, 2016",431.37,675
"Apr 18, 2016",429.27,674
"Apr 19, 2016",436.02,673
"Apr 20, 2016",443.05,672
"Apr 21, 2016",450.55,671
"Apr 22, 2016",449.81,670
"Apr 23, 2016",450.28,669
"Apr 24, 2016",460.15,668
"Apr 25, 2016",466.62,667
"Apr 26, 2016",467.96,666
"Apr 27, 2016",467.08,665
"Apr 28, 2016",449.55,664
"Apr 29, 2016",455.38,663
"Apr 30, 2016",455.59,662
"May 01, 2016",452.48,661
"May 02, 2016",452.44,660
"May 03, 2016",451.1,659
"May 04, 2016",450.38,658
"May 05, 2016",448.51,657
"May 06, 2016",461.38,656
"May 07, 2016",460.68,655
"May 08, 2016",459.42,654
"May 09, 2016",462.48,653
"May 10, 2016",461.93,652
"May 11, 2016",454.58,651
"May 12, 2016",454.95,650
"May 13, 2016",457.06,649
"May 14, 2016",456.84,648
"May 15, 2016",458.69,647
"May 16, 2016",458.2,646
"May 17, 2016",455.07,645
"May 18, 2016",456,644
"May 19, 2016",454.63,643
"May 20, 2016",444.05,642
"May 21, 2016",443.78,641
"May 22, 2016",443.43,640
"May 23, 2016",444.35,639
"May 24, 2016",447.1,638
"May 25, 2016",450.3,637
"May 26, 2016",453.64,636
"May 27, 2016",478.15,635
"May 28, 2016",533.47,634
"May 29, 2016",553.96,633
"May 30, 2016",544.35,632
"May 31, 2016",546.62,631
"Jun 01, 2016",543.08,630
"Jun 02, 2016",540.35,629
"Jun 03, 2016",574.64,628
"Jun 04, 2016",590.13,627
"Jun 05, 2016",582.81,626
"Jun 06, 2016",586.47,625
"Jun 07, 2016",590.26,624
"Jun 08, 2016",582.84,623
"Jun 09, 2016",582.2,622
"Jun 10, 2016",579.13,621
"Jun 11, 2016",607.12,620
"Jun 12, 2016",684.84,619
"Jun 13, 2016",716,618
"Jun 14, 2016",704.5,617
"Jun 15, 2016",696.3,616
"Jun 16, 2016",773.72,615
"Jun 17, 2016",775.36,614
"Jun 18, 2016",777.99,613
"Jun 19, 2016",766.62,612
"Jun 20, 2016",764.08,611
"Jun 21, 2016",735.88,610
"Jun 22, 2016",678.67,609
"Jun 23, 2016",629.33,608
"Jun 24, 2016",681.73,607
"Jun 25, 2016",691.73,606
"Jun 26, 2016",665.98,605
"Jun 27, 2016",655.27,604
"Jun 28, 2016",659.25,603
"Jun 29, 2016",644.68,602
"Jun 30, 2016",675.4,601
"Jul 01, 2016",686.15,600
"Jul 02, 2016",703.7,599
"Jul 03, 2016",704.97,598
"Jul 04, 2016",683.66,597
"Jul 05, 2016",683.49,596
"Jul 06, 2016",681.9,595
"Jul 07, 2016",682.43,594
"Jul 08, 2016",666.71,593
"Jul 09, 2016",666.38,592
"Jul 10, 2016",652.29,591
"Jul 11, 2016",659.63,590
"Jul 12, 2016",675.26,589
"Jul 13, 2016",668.7,588
"Jul 14, 2016",662.9,587
"Jul 15, 2016",667.08,586
"Jul 16, 2016",666.46,585
"Jul 17, 2016",682.37,584
"Jul 18, 2016",681.55,583
"Jul 19, 2016",673.28,582
"Jul 20, 2016",672.93,581
"Jul 21, 2016",666.22,580
"Jul 22, 2016",666.58,579
"Jul 23, 2016",656.37,578
"Jul 24, 2016",663.11,577
"Jul 25, 2016",661.83,576
"Jul 26, 2016",656.23,575
"Jul 27, 2016",657.46,574
"Jul 28, 2016",657.6,573
"Jul 29, 2016",657.8,572
"Jul 30, 2016",658.22,571
"Jul 31, 2016",655.28,570
"Aug 01, 2016",626.12,569
"Aug 02, 2016",612.85,568
"Aug 03, 2016",573.36,567
"Aug 04, 2016",579.5,566
"Aug 05, 2016",578.28,565
"Aug 06, 2016",588.4,564
"Aug 07, 2016",597.51,563
"Aug 08, 2016",592.99,562
"Aug 09, 2016",591.09,561
"Aug 10, 2016",599.98,560
"Aug 11, 2016",597.54,559
"Aug 12, 2016",589.91,558
"Aug 13, 2016",589.77,557
"Aug 14, 2016",585.67,556
"Aug 15, 2016",573.58,555
"Aug 16, 2016",581.74,554
"Aug 17, 2016",580.89,553
"Aug 18, 2016",577.79,552
"Aug 19, 2016",578.24,551
"Aug 20, 2016",582.82,550
"Aug 21, 2016",584.16,549
"Aug 22, 2016",588.45,548
"Aug 23, 2016",589.47,547
"Aug 24, 2016",583.59,546
"Aug 25, 2016",580.45,545
"Aug 26, 2016",580.62,544
"Aug 27, 2016",579.85,543
"Aug 28, 2016",574.04,542
"Aug 29, 2016",576.28,541
"Aug 30, 2016",578.36,540
"Aug 31, 2016",577.86,539
"Sep 01, 2016",576.31,538
"Sep 02, 2016",575.64,537
"Sep 03, 2016",599.5,536
"Sep 04, 2016",611.84,535
"Sep 05, 2016",609.05,534
"Sep 06, 2016",610.83,533
"Sep 07, 2016",614.54,532
"Sep 08, 2016",628.77,531
"Sep 09, 2016",626.83,530
"Sep 10, 2016",625.1,529
"Sep 11, 2016",628.82,528
"Sep 12, 2016",608.46,527
"Sep 13, 2016",611.19,526
"Sep 14, 2016",611.95,525
"Sep 15, 2016",611.09,524
"Sep 16, 2016",609.26,523
"Sep 17, 2016",607.86,522
"Sep 18, 2016",610.16,521
"Sep 19, 2016",610.93,520
"Sep 20, 2016",609.52,519
"Sep 21, 2016",603.59,518
"Sep 22, 2016",598.49,517
"Sep 23, 2016",603.21,516
"Sep 24, 2016",604.58,515
"Sep 25, 2016",603.38,514
"Sep 26, 2016",608.14,513
"Sep 27, 2016",608.25,512
"Sep 28, 2016",606.59,511
"Sep 29, 2016",606.82,510
"Sep 30, 2016",609.74,509
"Oct 01, 2016",615.24,508
"Oct 02, 2016",614,507
"Oct 03, 2016",612.57,506
"Oct 04, 2016",612.05,505
"Oct 05, 2016",613.81,504
"Oct 06, 2016",613.82,503
"Oct 07, 2016",617.91,502
"Oct 08, 2016",619.85,501
"Oct 09, 2016",619.2,500
"Oct 10, 2016",621.32,499
"Oct 11, 2016",642.08,498
"Oct 12, 2016",641.34,497
"Oct 13, 2016",638.83,496
"Oct 14, 2016",641.28,495
"Oct 15, 2016",642.1,494
"Oct 16, 2016",642.9,493
"Oct 17, 2016",642.33,492
"Oct 18, 2016",640.74,491
"Oct 19, 2016",638.87,490
"Oct 20, 2016",631.92,489
"Oct 21, 2016",634.09,488
"Oct 22, 2016",658.2,487
"Oct 23, 2016",661.13,486
"Oct 24, 2016",657.25,485
"Oct 25, 2016",664.42,484
"Oct 26, 2016",679.73,483
"Oct 27, 2016",688.59,482
"Oct 28, 2016",690.44,481
"Oct 29, 2016",720.4,480
"Oct 30, 2016",714.12,479
"Oct 31, 2016",709.29,478
"Nov 01, 2016",736.45,477
"Nov 02, 2016",740.83,476
"Nov 03, 2016",745.77,475
"Nov 04, 2016",706.93,474
"Nov 05, 2016",707.51,473
"Nov 06, 2016",714.26,472
"Nov 07, 2016",710.74,471
"Nov 08, 2016",712.99,470
"Nov 09, 2016",740.05,469
"Nov 10, 2016",723.02,468
"Nov 11, 2016",718.32,467
"Nov 12, 2016",717.15,466
"Nov 13, 2016",705.26,465
